original_language,runtime,popularity,vote_average,Num_genres,Num_keywords,Num_production_companies,Num_production_countries,Num_spoken_languages,Num_overview_words,Num_tagline_words,Num_Departments,Num_Cast,Num_Crew,Year,Month,Day,Is_profitable
4,152.0,109.984351,7.5,3,11,3,2,1,74,4,11,58,134,2001,11,16,1
4,96.0,39.448066,5.4,4,7,3,1,1,35,6,11,35,33,2013,7,18,0
4,143.0,271.972889,7.5,3,20,2,1,1,47,8,11,70,128,2003,7,9,1
4,123.0,206.227151,6.6,3,13,2,1,1,14,6,11,54,134,2014,11,18,1
4,149.0,45.313197,6.5,2,22,4,4,4,37,3,11,18,108,2006,5,17,1
4,102.0,42.40024,6.3,4,6,2,1,2,48,4,7,21,22,2014,3,19,1
4,133.0,2.871739,6.8,4,5,6,1,3,45,12,10,31,28,2003,4,24,1
4,130.0,7.255718,7.1,3,16,3,1,4,55,4,11,36,146,2011,4,20,1
4,129.0,81.499621,7.0,4,3,5,1,1,35,4,10,25,34,2011,11,22,1
4,106.0,47.686442,5.6,3,13,5,1,1,77,3,11,35,123,2010,4,1,1
4,113.0,43.129703,7.1,3,15,3,1,1,47,9,8,21,24,1990,6,1,1
4,102.0,27.220157,6.4,3,9,1,1,2,28,4,7,19,17,1999,8,27,0
4,120.0,90.33681,6.0,2,18,5,1,2,19,5,11,31,102,2012,8,8,1
4,125.0,50.073575,4.2,3,9,2,2,1,43,5,11,14,105,1997,6,20,1
4,104.0,45.419668,6.2,3,6,2,2,1,71,6,9,17,18,2000,11,17,1
4,124.0,41.380094,6.2,4,27,5,1,5,62,4,11,27,228,2004,5,26,1
4,123.0,54.931334,5.9,3,20,3,2,1,58,4,11,17,123,2000,5,24,1
4,130.0,25.752118,6.2,1,10,3,1,1,54,4,8,28,16,2000,3,15,1
4,92.0,60.810723,5.4,4,29,7,3,4,47,6,8,18,32,2007,6,13,1
4,127.0,51.328145,7.2,3,10,6,3,6,36,3,10,21,27,2012,11,20,1
4,114.0,46.834704,5.2,4,8,7,2,1,60,6,9,19,58,2007,2,16,1
4,123.0,62.641286,5.9,2,3,5,3,1,20,4,11,208,119,2016,7,27,1
4,106.0,33.616115,5.2,3,3,4,1,3,39,6,7,24,13,2003,6,27,1
4,124.0,68.889395,6.3,3,13,4,2,2,41,10,11,26,81,2012,5,30,1
4,78.0,27.990284,5.4,4,5,2,1,1,46,6,8,14,10,2002,7,19,1
4,109.0,67.33767,6.4,4,3,7,1,1,111,5,11,24,118,2013,8,7,1
4,119.0,27.835436,6.3,2,5,2,1,1,57,9,11,19,193,2004,6,11,1
4,102.0,66.757869,5.7,2,7,3,2,1,126,6,9,16,27,2014,1,30,1
4,135.0,17.060695,5.7,3,6,6,3,1,50,1,8,26,26,2008,5,9,0
4,121.0,11.137655,4.9,3,4,3,1,1,41,6,8,16,19,2010,12,17,0
4,109.0,44.906918,5.9,2,13,5,1,3,47,7,11,19,109,2010,6,15,1
4,124.0,67.698004,6.4,4,6,5,1,1,79,7,9,15,31,2013,4,10,1
4,140.0,44.108427,7.1,3,11,1,1,1,109,4,8,60,15,2005,5,17,1
4,142.0,43.987061,6.4,3,17,1,1,1,104,10,9,42,20,2002,5,15,1
4,92.0,106.815545,7.5,3,11,2,1,1,67,5,11,53,242,2001,11,1,1
4,126.0,15.953444,6.3,4,9,6,2,1,21,7,11,22,82,2013,7,23,1
4,136.0,54.035265,6.3,3,8,1,1,1,27,16,9,58,14,1999,5,19,1
4,98.0,64.183321,6.8,5,10,1,1,1,57,5,7,8,14,2013,3,20,1
7,116.0,20.344364,5.0,4,11,12,5,2,54,0,9,26,23,2008,1,13,1
4,134.0,18.714197,5.8,4,8,2,1,3,38,4,9,10,35,2002,6,14,0
4,114.0,60.467984,6.0,3,5,3,1,1,34,5,5,42,7,2016,4,6,1
4,101.0,143.350376,5.8,5,15,3,1,1,75,9,8,28,54,2014,8,7,1
4,91.0,110.153618,7.3,3,5,3,2,1,107,3,11,7,81,2013,9,27,1
4,108.0,16.90444,5.7,3,23,2,1,1,55,5,11,16,107,1997,2,7,1
4,112.0,39.873791,5.8,4,6,5,3,1,56,3,7,25,14,2016,6,1,1
4,100.0,38.126095,4.4,3,11,7,1,1,42,3,11,28,119,2015,8,5,1
4,108.0,48.780039,6.3,5,14,4,2,3,55,5,9,21,19,2006,10,20,1
